Hour of Day,Users,Sessions,Total Events
2016012502,7,7,246
2016012503,5,5,80
2016012504,9,9,772
2016012505,16,16,516
2016012506,27,26,902
2016012507,72,71,3142
2016012508,99,90,6056
2016012509,101,94,5331
2016012510,76,73,4363
2016012511,77,69,3423
2016012512,56,52,2495
2016012513,54,51,2865
2016012514,61,54,3385
2016012515,63,60,3135
2016012516,49,49,2528
2016012517,45,40,2893
2016012518,33,32,1788
2016012519,39,39,1671
2016012520,17,16,524
2016012521,23,22,351
2016012522,18,15,727
2016012523,16,13,339
2016012600,9,9,179
2016012601,4,4,58
2016012602,10,10,576
2016012603,2,2,5
2016012604,5,5,66
2016012605,18,18,813
2016012606,19,17,926
2016012607,26,22,1017
2016012608,61,58,2370
2016012609,72,69,3971
2016012610,55,52,2112
2016012611,49,46,2285
2016012612,50,46,1665
2016012613,38,37,1749
2016012614,50,47,2803
2016012615,43,41,1796
2016012616,62,62,2264
2016012617,47,41,2378
2016012618,30,28,1151
2016012619,22,19,414
2016012620,29,28,817
2016012621,18,17,414
2016012622,18,16,602
2016012623,10,10,130
2016012700,9,9,178
2016012701,5,5,96
2016012702,6,6,57
2016012703,4,4,10
2016012704,2,2,9
2016012705,16,16,205
2016012706,17,16,800
2016012707,27,26,846
2016012708,55,54,2103
2016012709,54,54,2087
2016012710,50,49,2263
2016012711,41,37,1320
2016012712,29,28,1553
2016012713,37,37,1304
2016012714,33,34,1388
2016012715,33,30,2569
2016012716,41,39,2470
2016012717,43,43,1839
2016012718,28,26,1215
2016012719,19,18,1146
2016012720,16,16,353
2016012721,22,22,358
2016012722,11,11,336
2016012723,7,7,46
2016012800,7,7,79
2016012801,9,9,247
2016012802,9,7,133
2016012803,2,2,26
2016012804,4,4,158
2016012805,13,13,188
2016012806,16,15,578
2016012807,30,29,1428
2016012808,62,61,2898
2016012809,68,65,3080
2016012810,69,65,3709
2016012811,55,51,3401
2016012812,54,47,2792
2016012813,63,60,3154
2016012814,79,76,3195
2016012815,76,72,3943
2016012816,85,83,4406
2016012817,76,69,3097
2016012818,47,43,2707
2016012819,27,24,632
2016012820,27,26,1623
2016012821,35,35,745
2016012822,17,16,455
2016012823,15,15,378
2016012900,13,13,336
2016012901,2,2,57
2016012902,6,6,110
2016012903,4,4,24
2016012904,11,10,331
2016012905,19,19,616
2016012906,21,18,810
2016012907,66,65,2180
